Generation	CellName	Probability_BASALB	Probability_BASALA
0	Hs_578T	0.976	0.02400000000000002
0	HCC1187	0.08	0.92
0	MDAMB157	0.969	0.031000000000000028
0	MDAMB436	0.978	0.02200000000000002
0	BT549	0.991	0.009000000000000008
0	BT20	0.036	0.964
0	BT549.1	0.977	0.02300000000000002
0	CAL120	0.964	0.03600000000000003
0	CAL51	0.967	0.03300000000000003
0	CAL851	0.053	0.947
0	DU4475	0.915	0.08499999999999996
0	HBL100	0.984	0.016000000000000014
0	HCC1143	0.081	0.919
0	HCC1187.1	0.081	0.919
0	HCC1395	0.987	0.013000000000000012
0	HCC1569	0.062	0.938
0	HCC1599	0.06	0.94
0	HCC1806	0.096	0.904
0	HCC1937	0.027	0.973
0	HCC1954	0.02	0.98
0	HCC3153	0.085	0.915
0	HCC38	0.782	0.21799999999999997
0	HCC70	0.016	0.984
0	HDQP1	0.042	0.958
0	HS578T	0.99	0.010000000000000009
0	JIMT1	0.057	0.943
0	MACLS2	0.059	0.9410000000000001
0	MB157	0.871	0.129
0	MDAMB157.1	0.979	0.02100000000000002
0	MDAMB231	0.981	0.019000000000000017
0	MDAMB436.1	0.988	0.01200000000000001
0	MDAMB468	0.041	0.959
0	MX1	0.117	0.883
0	SKBR7	0.945	0.05500000000000005
0	SUM102	0.692	0.30800000000000005
0	SUM1315	0.986	0.014000000000000012
0	SUM149	0.082	0.918
0	SUM159	0.988	0.01200000000000001
0	SUM229	0.147	0.853
0	SW527	0.941	0.05900000000000005
0	UACC3199	0.752	0.248
0	CAL120.1	0.978	0.02200000000000002
0	HCC38.1	0.742	0.258
0	HCC1599.1	0.058	0.942
0	HCC1395.1	0.971	0.029000000000000026
0	MDAMB468.1	0.06	0.94
0	MDAMB231.1	0.963	0.03700000000000003
0	HCC1954.1	0.028	0.972
0	JIMT1.1	0.039	0.961
0	HDQP1.1	0.056	0.944
0	HMC18	0.941	0.05900000000000005
0	BT20.1	0.051	0.949
0	HCC1806.1	0.096	0.904
0	HCC2157	0.063	0.937
0	HCC1500	0.114	0.886
0	HCC1143.1	0.07	0.9299999999999999
0	CAL51.1	0.951	0.049000000000000044
0	CAL851.1	0.071	0.929
0	HCC1569.1	0.146	0.854
0	HCC70.1	0.014	0.986
0	DU4475.1	0.866	0.134
0	HCC1937.1	0.015	0.985
1	Hs_578T	0.9776203111571109	0.0223796888428891
1	HCC1187	0.07008097528542781	0.9299190247145722
1	MDAMB157	0.980106898878942	0.01989310112105802
1	MDAMB436	0.966878071540898	0.033121928459102
1	BT549	0.9888281760344764	0.01117182396552363
1	BT20	0.023564347633804314	0.9764356523661957
1	BT549.1	0.9822642965919773	0.017735703408022663
1	CAL120	0.9662644895745023	0.03373551042549772
1	CAL51	0.9600403393287293	0.03995966067127066
1	CAL851	0.029311887896702794	0.9706881121032972
1	DU4475	0.8899579138311817	0.11004208616881828
1	HBL100	0.9824856011332558	0.01751439886674422
1	HCC1143	0.06983599631346092	0.9301640036865391
1	HCC1187.1	0.07654450714548165	0.9234554928545183
1	HCC1395	0.9782925974180847	0.02170740258191528
1	HCC1569	0.08765858242513018	0.9123414175748699
1	HCC1599	0.042667638979971154	0.9573323610200288
1	HCC1806	0.12677677873951337	0.8732232212604867
1	HCC1937	0.029540248397864392	0.9704597516021356
1	HCC1954	0.02686941781178869	0.9731305821882114
1	HCC3153	0.07371034677286176	0.9262896532271383
1	HCC38	0.725607780550366	0.274392219449634
1	HCC70	0.01986177428600805	0.9801382257139919
1	HDQP1	0.0310309346421521	0.9689690653578479
1	HS578T	0.9852534690097134	0.014746530990286555
1	JIMT1	0.052114905012681415	0.9478850949873185
1	MACLS2	0.05703574434881638	0.9429642556511836
1	MB157	0.8409117384127613	0.15908826158723866
1	MDAMB157.1	0.986490825161341	0.013509174838658988
1	MDAMB231	0.9715058036201708	0.028494196379829195
1	MDAMB436.1	0.9730024096493924	0.02699759035060756
1	MDAMB468	0.05778984045206338	0.9422101595479366
1	MX1	0.1174267925107996	0.8825732074892004
1	SKBR7	0.9408536073683276	0.05914639263167243
1	SUM102	0.6552713418856548	0.34472865811434517
1	SUM1315	0.983868690945989	0.016131309054010945
1	SUM149	0.08583354388911336	0.9141664561108866
1	SUM159	0.9849139157539007	0.015086084246099252
1	SUM229	0.17938740169174608	0.820612598308254
1	SW527	0.9322785518177363	0.06772144818226367
1	UACC3199	0.6845131084111574	0.3154868915888426
1	CAL120.1	0.9716247414476062	0.028375258552393756
1	HCC38.1	0.6798302221222596	0.32016977787774037
1	HCC1599.1	0.04683506395425144	0.9531649360457486
1	HCC1395.1	0.9658786828532714	0.034121317146728614
1	MDAMB468.1	0.04359701595140781	0.9564029840485921
1	MDAMB231.1	0.9661871683402558	0.03381283165974425
1	HCC1954.1	0.014057018326131319	0.9859429816738687
1	JIMT1.1	0.03431619940080849	0.9656838005991915
1	HDQP1.1	0.0702688350177013	0.9297311649822987
1	HMC18	0.9589246473380576	0.0410753526619424
1	BT20.1	0.03915518305789156	0.9608448169421084
1	HCC1806.1	0.08561011855336642	0.9143898814466336
1	HCC2157	0.06861363074256242	0.9313863692574376
1	HCC1500	0.12349286783638073	0.8765071321636193
1	HCC1143.1	0.06105682862585573	0.9389431713741443
1	CAL51.1	0.9418273857543069	0.05817261424569309
1	CAL851.1	0.07283404008180452	0.9271659599181955
1	HCC1569.1	0.13763105387384464	0.8623689461261553
1	HCC70.1	0.01151289410581446	0.9884871058941855
1	DU4475.1	0.8311065641471571	0.1688934358528429
1	HCC1937.1	0.018420326646254485	0.9815796733537455
2	Hs_578T	0.9651287908862214	0.03487120911377861
2	HCC1187	0.08391725319401681	0.9160827468059832
2	MDAMB157	0.9739708839539216	0.026029116046078382
2	MDAMB436	0.9581799836826309	0.04182001631736909
2	BT549	0.9890516072914766	0.010948392708523436
2	BT20	0.03279355950987722	0.9672064404901228
2	BT549.1	0.9854593906582468	0.014540609341753163
2	CAL120	0.9612226682250808	0.038777331774919155
2	CAL51	0.9561264365194796	0.043873563480520406
2	CAL851	0.025766238266416965	0.974233761733583
2	DU4475	0.8658374040686998	0.1341625959313002
2	HBL100	0.9754226059676461	0.024577394032353927
2	HCC1143	0.07088778255325441	0.9291122174467455
2	HCC1187.1	0.08559295100059833	0.9144070489994016
2	HCC1395	0.9804202487247428	0.01957975127525724
2	HCC1569	0.12007924111143232	0.8799207588885677
2	HCC1599	0.057763689609028994	0.942236310390971
2	HCC1806	0.09390907086115755	0.9060909291388425
2	HCC1937	0.029109081820844544	0.9708909181791554
2	HCC1954	0.033027462425503994	0.966972537574496
2	HCC3153	0.06110640737151398	0.938893592628486
2	HCC38	0.6982027317179447	0.30179726828205533
2	HCC70	0.026577236944375995	0.973422763055624
2	HDQP1	0.0389990255935274	0.9610009744064726
2	HS578T	0.9750456408090437	0.024954359190956343
2	JIMT1	0.0666335945800708	0.9333664054199292
2	MACLS2	0.06275451076767764	0.9372454892323223
2	MB157	0.7748667551603938	0.22513324483960617
2	MDAMB157.1	0.9787548102074111	0.021245189792588937
2	MDAMB231	0.9652349836890681	0.03476501631093187
2	MDAMB436.1	0.9762994331827506	0.023700566817249413
2	MDAMB468	0.07330864342438777	0.9266913565756122
2	MX1	0.15401643197073958	0.8459835680292604
2	SKBR7	0.9274354818633272	0.07256451813667275
2	SUM102	0.6798135456080335	0.32018645439196647
2	SUM1315	0.971769866080005	0.02823013391999496
2	SUM149	0.0857523755013504	0.9142476244986496
2	SUM159	0.9708730115523598	0.029126988447640167
2	SUM229	0.1719390485618524	0.8280609514381476
2	SW527	0.9205149881249289	0.07948501187507107
2	UACC3199	0.6383600984072983	0.36163990159270165
2	CAL120.1	0.9478396486509945	0.05216035134900554
2	HCC38.1	0.6649597506206227	0.33504024937937726
2	HCC1599.1	0.08332725522332504	0.9166727447766749
2	HCC1395.1	0.9667005085404252	0.03329949145957478
2	MDAMB468.1	0.048626907031799206	0.9513730929682008
2	MDAMB231.1	0.9683855741398016	0.03161442586019836
2	HCC1954.1	0.022972589118959812	0.9770274108810402
2	JIMT1.1	0.0557108579117178	0.9442891420882822
2	HDQP1.1	0.055607124415864566	0.9443928755841354
2	HMC18	0.9611689317913965	0.03883106820860349
2	BT20.1	0.04461255666938434	0.9553874433306156
2	HCC1806.1	0.12675788660755513	0.8732421133924448
2	HCC2157	0.09440758199964128	0.9055924180003587
2	HCC1500	0.1189612134216646	0.8810387865783353
2	HCC1143.1	0.09047744150900419	0.9095225584909958
2	CAL51.1	0.9440446136835177	0.055955386316482336
2	CAL851.1	0.12440265611243803	0.8755973438875619
2	HCC1569.1	0.20176562269760656	0.7982343773023934
2	HCC70.1	0.02320622555698	0.97679377444302
2	DU4475.1	0.8120032159917742	0.18799678400822584
2	HCC1937.1	0.03007325326311937	0.9699267467368806
3	Hs_578T	0.9607912384347115	0.03920876156528852
3	HCC1187	0.12279491792310455	0.8772050820768954
3	MDAMB157	0.9704680945447195	0.029531905455280505
3	MDAMB436	0.959874435147342	0.04012556485265795
3	BT549	0.992769583794791	0.007230416205209034
3	BT20	0.038546601783709805	0.9614533982162902
3	BT549.1	0.9807241366639871	0.019275863336012944
3	CAL120	0.9743992055655641	0.02560079443443586
3	CAL51	0.9583100881846539	0.04168991181534609
3	CAL851	0.030887282039939075	0.9691127179600609
3	DU4475	0.8393997986074146	0.16060020139258535
