;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.A8.A08P.01;0.224006657830187;4766.559;0.281136654256184;3810.282
TCGA.A8.A08R.01;0.229390874752866;4988.949;0.195075840533533;6541.9725
TCGA.A8.A08S.01;0.150931082492168;4788.798;0.285394957152041;3673.8828
TCGA.A8.A08T.01;0.176650628573706;4391.4612;0.295815877411743;3198.7095
TCGA.A8.A08X.01;0.244937043013966;4867.3758;0.246189251626668;5008.9641
TCGA.A8.A08Z.01;0.275731705030348;4621.2642;0.241871251245169;4441.1283
TCGA.A8.A090.01;0.192901136905662;4538.2386;0.264086487173872;3891.0837
TCGA.A8.A091.01;0.170148374333895;4068.2544;0.264759055296121;3963.7311
TCGA.A8.A092.01;0.156028172430887;4169.0712;0.30216924413799;3609.3897
TCGA.A8.A093.01;0.184616937444992;5074.9398;0.286956276007263;3799.9038
TCGA.A8.A094.01;0.204448622435048;4535.2734;0.319758101549309;3203.8986
TCGA.A8.A095.01;0.186533363569563;4897.0278;0.288137862335479;3681.2958
TCGA.A8.A096.01;0.245009410733393;5223.1998;0.278929966724834;3793.9734
TCGA.A8.A097.01;0.234223397684936;4991.9142;0.264232375112154;4292.8683
TCGA.A8.A099.01;0.146899585248002;3685.7436;0.31840095515977;2994.1107
TCGA.A8.A09A.01;0.242106791314936;4467.0738;0.281098151144143;4016.3634
TCGA.A8.A09B.01;0.170745481265843;4544.169;0.279069143111475;3779.8887
TCGA.A8.A09C.01;0.149423958813099;4566.408;0.29998163154288;3624.2157
TCGA.A8.A09D.01;0.259321225950185;4524.8952;0.272012123181699;4177.9668
TCGA.A8.A09E.01;0.124635524522402;3924.4422;0.305587896599716;3520.4337
TCGA.A8.A09G.01;0.162434913000524;4246.1664;0.316625219891626;2893.2939
TCGA.A8.A09I.01;0.17358159269924;4702.8072;0.313816258910468;2859.1941
TCGA.A8.A09K.01;0.0903549065313771;3525.6228;0.273385518590998;3770.2518
TCGA.A8.A09M.01;0.143655636302695;4176.4842;0.276273958473157;3818.4363
TCGA.A8.A09N.01;0.160813231514589;3977.8158;0.313872777240069;3123.8382
TCGA.A8.A09Q.01;0.207548128928219;4471.5216;0.254911796081867;4963.0035
TCGA.A8.A09R.01;0.205929963282904;5060.1138;0.290988858824277;3508.5729
TCGA.A8.A09T.01;0.185814960136227;5620.5366;0.276161628293076;4427.0436
TCGA.A8.A09V.01;0.18947436424812;5037.8748;0.279341844051799;3873.2925
TCGA.A8.A09W.01;0.205635804617705;4392.9438;0.307978975181389;3438.8907
TCGA.A8.A09X.01;0.223988785640369;4259.5098;0.275599977392668;4225.41
TCGA.A8.A09Z.01;0.122106170183093;4320.2964;0.27282280797191;3826.5906
TCGA.A8.A0A1.01;0.241225194279493;4615.3338;0.26694242901651;4267.6641
TCGA.A8.A0A2.01;0.191883887019634;4369.2222;0.274356220901891;3808.7994
TCGA.A8.A0A4.01;0.228692687403095;5458.9332;0.254249471906858;4750.2504
TCGA.A8.A0A6.01;0.232011640948293;4662.777;0.300574720764128;3813.2472
TCGA.A8.A0A7.01;0.280227586223061;3945.1986;0.26692406055939;4344.7593
TCGA.A8.A0A9.01;0.18039558480735;5076.4224;0.291603142419126;3554.5335
TCGA.A8.A0AB.01;0.132886323497183;3881.4468;0.279797169844645;4002.2787
TCGA.A8.A0AD.01;0.215622842885286;4837.7238;0.270349071333197;3860.6904
TCGA.AC.A23C.01;0.214591822623497;4649.4336;0.291617272001526;3420.3582
TCGA.AC.A23E.01;0.286763826922198;4213.5492;0.270494606031919;4512.2931
TCGA.AC.A23G.01;0.307093589333408;4040.085;0.239079245762891;4736.1657
TCGA.AC.A23H.01;0.16064681505858;4627.1946;0.32281291726423;2710.1928
TCGA.AC.A2B8.01;0.265569167718489;4588.647;0.27353493892488;3873.2925
TCGA.AC.A2BK.01;0.135943932889634;5180.2044;0.16837057655761;5878.509
TCGA.AC.A2BM.01;0.154793233413143;4210.584;0.21099599426339;5477.4657
TCGA.AC.A2FB.01;0.25062655209714;4384.0482;0.265895780200216;4313.6247
TCGA.AC.A2FE.01;0.24860494374069;4848.102;0.273625015012681;3762.0975
TCGA.AC.A2FF.01;0.320674695674696;3341.7804;0.22349749553152;4893.3213
TCGA.AC.A2FG.01;0.220660456520185;5243.9562;0.291778702480448;3665.7285
TCGA.AC.A2FK.01;0.236858227242843;5417.4204;0.280219291118851;3753.2019
TCGA.AC.A2FM.01;0.128457536262966;3914.064;0.262361265162808;4427.7849
TCGA.AC.A2FO.01;0.278503652372431;3829.5558;0.273024507760673;4715.4093
TCGA.AC.A2QH.01;0.282621580698504;3776.1822;-0.114374377415276;4608.6621
TCGA.AC.A2QH.01.1;0.244371578647597;5129.796;-0.13749602605495;4111.2498
TCGA.AC.A2QI.01;0.235567913735335;4913.3364;0.285681434435205;3449.2689
TCGA.AC.A2QJ.01;0.250284636596854;4886.6496;0.0901774675549464;5346.2556
TCGA.AC.A3BB.01;0.265032709037234;4329.192;0.263825443139028;4077.8913
TCGA.AC.A3EH.01;0.176671137643988;4524.8952;0.298202717118696;3232.8093
TCGA.AC.A3HN.01;0.277317349149928;4438.9044;0.265087921326485;4113.4737
TCGA.AC.A3OD.01;0.228182304539771;3857.7252;0.230108727136569;4928.9037
TCGA.AC.A3OD.01.1;0.256840800392837;3553.7922;0.2117342649438;5579.7651
TCGA.AC.A3QP.01;0.230747989232152;4507.104;0.269538386542986;3876.999
TCGA.AC.A3QQ.01;0.197677406387814;4341.0528;0.282625912241164;3544.1553
TCGA.AC.A3QQ.01.1;0.241777767230256;4446.3174;0.250035677195561;4345.5006
TCGA.AC.A3TM.01;0.149794587011781;5574.576;0.270825238260083;3968.1789
TCGA.AC.A3TN.01;0.146346426323802;4719.1158;0.289613697217179;3320.2827
TCGA.AC.A3W5.01;0.259538622095183;4732.4592;0.284275894225946;3742.8237
TCGA.AC.A3W6.01;0.266048786976389;4658.3292;0.254216267388217;4187.6037
TCGA.AC.A3W7.01;0.20334728536086;5438.1768;0.315853744692576;3064.5342
